experiment,feature,model,target,n_seeds,n_samples_mean,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Pearson_R_mean,Pearson_R_std,Spearman_R_mean,Spearman_R_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,NRMSE_mean,NRMSE_std
predictions_OpenADMET_Phase2_KNN,MACCS,KNN,KSOL,10,1026.0,88.35737361207153,2.013862924689139,63.45817085846751,2.864062155283412,0.4101429526825327,0.024615927819856578,0.6525562863282787,0.01606752733349594,0.6303551911259925,0.016698018796305693,82.68915377076559,13.438928903096913,69.2053632296685,3.3527861189300157,0.6073662554209922,0.017945087167309012
predictions_OpenADMET_Phase2_KNN,MOL2VEC,KNN,LogD,10,1008.0,0.5968783567848581,0.02930319273040264,0.42932158539799803,0.015862893229025156,0.746339709605257,0.01719696219888441,0.8645039975493425,0.010011712788352656,0.8559665960110017,0.009837755239120574,18.029638528330654,0.8304183776739619,29.093963389336174,1.4780968542871038,0.27671658731363796,0.014311065419290591
predictions_OpenADMET_Phase2_KNN,AtomPair,KNN,LogD,10,1008.0,0.6345899913774274,0.030433924844891005,0.458118484481784,0.01457901766415742,0.7133510885773898,0.01768523387303926,0.8454062586948915,0.010466837939517479,0.836241874807658,0.010547756794490897,19.408154665117088,0.7588256172549532,30.469965825217542,1.4178697930718531,0.2942211198049633,0.015329267675143251
predictions_OpenADMET_Phase2_KNN,MACCS,KNN,LogD,10,1008.0,0.6752698741297473,0.031063776930286887,0.4896185728024968,0.017807347955900065,0.6752201106653002,0.022176796685073125,0.8234090141549333,0.013070921726273405,0.8095607757917549,0.01264794068738488,20.52405645432267,0.7512972585733606,31.979652079037304,1.3602211163728632,0.3130601627385125,0.015323058899673057
predictions_OpenADMET_Phase2_KNN,ECFP,KNN,LogD,10,1008.0,0.6976420948625316,0.031054987801382397,0.5270206015774982,0.0242652469403044,0.6533027693378739,0.023697140774405663,0.8091446429166508,0.013828366387128215,0.7948818026789878,0.016557487517887597,22.20606074972884,1.02323631805133,34.00139380511998,1.5916469077704476,0.3233866226282547,0.014219134584660086
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,10,1008.0,0.7109901733687859,0.024672081943933576,0.5364960001831789,0.01616929068478254,0.6398976858295228,0.020975087393479617,0.8008673655512668,0.012009699677264925,0.7848976207598366,0.011955715203570033,22.13704813535222,0.7495904739854249,34.50455120460151,1.2449807642743194,0.32958803657618424,0.01161941748898329
predictions_OpenADMET_Phase2_KNN,RDKitFP,KNN,LogD,10,1008.0,0.7155212515452096,0.02148924778050141,0.5201402406949354,0.019101843696454186,0.6353129813450653,0.01866417284703357,0.7991076467495685,0.011603938843954336,0.789369596734274,0.011702507702661263,22.09307890379076,0.8331385756324298,34.09761104215491,1.6125023347176277,0.33170168481008655,0.01071060866098189
predictions_OpenADMET_Phase2_KNN,AtomPair,KNN,MLM CLint,10,905.0,797.0643244969721,59.57224295422989,386.0429652593106,16.260614931030723,0.3569946860878469,0.05672603768087459,0.6073874904138961,0.032475611542176284,0.7666058906112968,0.013833845600271717,142.1359022662138,10.897259524873105,74.70763742664573,2.042409197766562,1.4147948340056127,0.06887487584505146
predictions_OpenADMET_Phase2_KNN,RDKitFP,KNN,MLM CLint,10,905.0,806.4841901535382,75.18964848263698,394.3572452260893,22.51581239433437,0.3441701968368493,0.05074600107079319,0.5970001218806444,0.03581949803218896,0.7401327405037442,0.016377327314671536,156.32136172986145,13.74626325407487,77.80838346706021,1.5835978687993084,1.4306478365534938,0.09290256900687895
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,10,905.0,810.5738037171689,66.41071718788726,402.3465764954259,20.897591292402392,0.3374484593970607,0.027052216188462416,0.5870107027466405,0.022545560439817793,0.7306238491421613,0.01720899728148178,168.2429213985497,9.734559360620935,79.62375305852369,1.1496150247623844,1.4388212897561048,0.08611498568837855
