experiment,feature,model,target,seed,n_samples,RMSE,MAE,R2,Pearson_R,Spearman_R,MAPE,sMAPE,NRMSE
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,HLM CLint,0,752,104.25736501998418,50.64282020813528,0.25815355181455446,0.5248525756699902,0.5515274612439439,283.73329315829176,98.60653150393694,1.9708981109634056
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,HLM CLint,1,752,109.9977921017672,49.32956256435917,0.2468309177886503,0.5169618552345969,0.5596499200644965,261.9074593570045,107.3815449410759,2.1115784227777854
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,HLM CLint,2,752,102.25534250926036,38.31763267719999,0.34317127056031604,0.6190129256149935,0.6616187430978461,123.74660634573536,78.82496942217128,1.8998163720478047
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,HLM CLint,3,752,107.47245545162106,38.61428175454444,0.2513743618099591,0.5320950301877945,0.6690588173664754,91.48780856820069,78.40798633436663,1.966348585916498
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,HLM CLint,4,752,118.59011556759455,48.785971683049766,0.2732948788390811,0.5259577790798009,0.5354556851174687,302.1420621078132,94.59504306604867,2.231474606379744
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,KSOL,0,1026,83.28482731098691,62.43870050446829,0.48909050241620655,0.7053718050776516,0.7044467895476886,97.01333249016938,75.888362610668,0.5936621905001627
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,KSOL,1,1026,80.24475989535723,59.15593097130945,0.5043692805205121,0.7129926374869342,0.7027069432251013,78.58367396571039,68.2044123582105,0.5588754992399039
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,KSOL,2,1026,83.7342296133668,63.41682964028479,0.46884047954841135,0.6918725846846061,0.6835585068958436,63.237562976365226,69.09127889851577,0.5593567648990273
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,KSOL,3,1026,84.97888692708086,63.7239521222927,0.45638469349141886,0.6857034195183483,0.6725872858121386,81.68871792993268,73.96984370029791,0.5764429761946746
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,KSOL,4,1026,83.92534406208206,63.614233983017044,0.47824005044291484,0.7012430151942519,0.6905193558252086,69.98120991094167,74.53621430110705,0.5647834853268918
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,LogD,0,1008,0.4995227864245268,0.36414199043804446,0.812349869329691,0.9028568378768977,0.8985672162683257,15.75298662694433,25.039914533117162,0.2275483408771629
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,LogD,1,1008,0.5370542689168245,0.39171613831782626,0.7982631739062422,0.8956622070286296,0.8912947589973477,17.105266701134386,26.53347906965869,0.2441926577849901
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,LogD,2,1008,0.6156708367164816,0.4210203501292401,0.7535658251581964,0.8690335309401264,0.8708133325831623,17.841543265382654,30.194964424951536,0.2833902020099766
